day,month,totalPoints,cumulativePoints,rollingAvgPoints,taskCompleted,taskMissed,pointsGain,pointsDeduct,mindStatus
8,4,12,12,0,1,0,12,0,Default
1,5,10,22,0,2,1,20,10,Default
2,7,25,47,15.666666666666666,3,2,35,10,Default
3,6,-10,37,8.333333333333334,2,2,15,25,Default
4,6,-28,9,-4.333333333333333,1,1,2,30,Default
5,9,-5,4,-14.333333333333334,2,1,15,20,Default
6,11,-8,-4,-13.666666666666666,2,1,12,20,Default
7,10,-5,-9,-6,1,2,10,15,Default
1,10,32,23,6.333333333333333,5,0,32,0,Motivated
2,9,-1,22,8.666666666666666,4,1,29,30,Motivated
3,12,20,42,17,4,1,50,30,Motivated
4,8,42,84,20.333333333333332,5,1,47,5,Motivated
5,10,4,88,22,3,1,9,5,Motivated
6,12,30,118,25.333333333333332,3,1,40,10,Motivated
7,9,13,131,15.666666666666666,5,0,13,0,Motivated
1,2,42,173,28.333333333333332,4,0,42,0,Distracted
2,7,12,185,22.333333333333332,3,1,17,5,Distracted
3,6,-20,165,11.333333333333334,1,2,15,35,Distracted
4,5,-70,95,-26,1,4,5,75,Distracted
5,5,-78,17,-56,1,3,2,80,Distracted
6,10,-85,-68,-77.66666666666667,1,4,15,100,Distracted
7,10,-65,-133,-76,1,4,5,70,Distracted
1,12,-13,-146,-54.333333333333336,3,2,12,25,Tired
2,8,0,-146,-26,3,2,35,35,Tired
3,3,-18,-164,-10.333333333333334,1,1,2,20,Tired
4,2,-40,-204,-19.333333333333332,2,2,20,60,Tired
5,12,-5,-209,-21,1,3,10,15,Tired
6,11,-35,-244,-26.666666666666668,1,3,10,45,Tired
7,7,12,-232,-9.333333333333334,3,1,22,10,Tired
1,7,20,-212,-1,3,1,25,5,Stressed
2,4,7,-205,13,2,0,7,0,Stressed
3,12,-20,-225,2.3333333333333335,1,2,10,30,Stressed
4,5,30,-195,5.666666666666667,3,0,30,0,Stressed
5,5,-13,-208,-1,3,1,17,30,Stressed
6,5,12,-196,9.666666666666666,2,0,12,0,Stressed
7,2,22,-174,7,3,0,22,0,Stressed
